Product Name,Component Type,Minimum Version,Last Update,SoftPaq #,SoftPaq Link
HP Elite Dragonfly,BIOS,01.12.00,Rev 1,SP137046,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137046.exe
HP Elite x2 1012 G2,BIOS,1.41,Rev 1,SP139761,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139761.exe
HP Elite x2 1013 G3,BIOS,01.19.00,Rev 1,SP137088,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137088.exe
HP Elite x2 G4,BIOS,01.12.00,Rev 1,SP137014,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137014.exe
HP EliteBook 1040 G4,BIOS,1.41,Rev 1,SP139994,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139994.exe
HP EliteBook 1050 G1,BIOS,01.19.00,Rev 1,SP137055,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137055.exe
HP EliteBook 725 G4,BIOS,1.4,Rev 1,SP139790,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139790.exe
HP EliteBook 735 G5,BIOS,01.20.00,Rev 1,SP139830,Pending
HP EliteBook 735 G6,BIOS,01.19.00,Rev 1,SP137147,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137147.exe
HP EliteBook 745 G4,BIOS,1.4,Rev 1,SP139790,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139790.exe
HP EliteBook 745 G5,BIOS,01.20.00,Rev 1,SP139830,Pending
HP EliteBook 745 G6,BIOS,01.19.00,Rev 1,SP137147,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137147.exe
HP EliteBook 755 G4,BIOS,1.4,Rev 1,SP139790,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139790.exe
HP EliteBook 755 G5,BIOS,01.20.00,Rev 1,SP139830,Pending
HP EliteBook 820 G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP EliteBook 828 G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP EliteBook 830 G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 830 G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP EliteBook 836 G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 836 G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP EliteBook 840 G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP EliteBook 840 G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 840 G5 Healthcare Edition,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 840 G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP EliteBook 840 G6 Healthcare Edition,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP EliteBook 840r G4,BIOS,01.19.00,Rev 1,SP137098,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137098.exe
HP EliteBook 846 G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 848 G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP EliteBook 850 G4,BIOS,1.41,Rev 1,SP139760,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139760.exe
HP EliteBook 850 G5,BIOS,01.19.00,Rev 1,SP137097,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137097.exe
HP EliteBook 850 G6,BIOS,01.12.00,Rev 1,SP137078,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137078.exe
HP EliteBook x360 1020 G2,BIOS,1.41,Rev 1,SP139762,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139762.exe
HP EliteBook x360 1030 G2,BIOS,1.41,Rev 1,SP139711,https://ftp.hp.com/pub/softpaq/sp139501-140000/sp139711.exe
HP EliteBook x360 1030 G3,BIOS,01.19.00,Rev 1,SP137112,https://ftp.hp.com/pub/softpaq/sp137001-137500/sp137112.exe
